Symbol,Date,Action,Price,Next_Close,PnL
INFY,1970-01-01 00:00:00.000000085,HOLD,1435.8,1440.0,0
INFY,1970-01-01 00:00:00.000000086,HOLD,1440.0,1496.2,0
INFY,1970-01-01 00:00:00.000000087,HOLD,1496.2,1496.4,0
INFY,1970-01-01 00:00:00.000000088,HOLD,1496.4,1487.5,0
INFY,1970-01-01 00:00:00.000000089,HOLD,1487.5,1532.1,0
INFY,1970-01-01 00:00:00.000000090,HOLD,1532.1,1529.6,0
INFY,1970-01-01 00:00:00.000000091,HOLD,1529.6,1500.1,0
INFY,1970-01-01 00:00:00.000000092,HOLD,1500.1,1469.6,0
INFY,1970-01-01 00:00:00.000000093,HOLD,1469.6,1499.4,0
INFY,1970-01-01 00:00:00.000000094,HOLD,1499.4,1498.7,0
INFY,1970-01-01 00:00:00.000000095,HOLD,1498.7,1479.1,0
INFY,1970-01-01 00:00:00.000000096,HOLD,1479.1,1463.0,0
INFY,1970-01-01 00:00:00.000000097,HOLD,1463.0,1444.6,0
INFY,1970-01-01 00:00:00.000000098,HOLD,1444.6,1432.9,0
INFY,1970-01-01 00:00:00.000000099,HOLD,1432.9,1504.3,0
INFY,1970-01-01 00:00:00.000000100,HOLD,1504.3,1532.6,0
INFY,1970-01-01 00:00:00.000000101,HOLD,1532.6,1509.7,0
INFY,1970-01-01 00:00:00.000000102,HOLD,1509.7,1525.6,0
INFY,1970-01-01 00:00:00.000000103,HOLD,1525.6,1508.4,0
INFY,1970-01-01 00:00:00.000000104,HOLD,1508.4,1511.3,0
INFY,1970-01-01 00:00:00.000000105,HOLD,1511.3,1522.4,0
INFY,1970-01-01 00:00:00.000000106,HOLD,1522.4,1540.6,0
INFY,1970-01-01 00:00:00.000000107,HOLD,1540.6,1540.2,0
INFY,1970-01-01 00:00:00.000000108,HOLD,1540.2,1499.5,0
INFY,1970-01-01 00:00:00.000000109,HOLD,1499.5,1497.5,0
INFY,1970-01-01 00:00:00.000000110,HOLD,1497.5,1494.6,0
INFY,1970-01-01 00:00:00.000000111,HOLD,1494.6,1484.8,0
INFY,1970-01-01 00:00:00.000000112,HOLD,1484.8,1448.9,0
INFY,1970-01-01 00:00:00.000000113,HOLD,1448.9,1441.8,0
INFY,1970-01-01 00:00:00.000000114,HOLD,1441.8,1441.8,0
INFY,1970-01-01 00:00:00.000000115,HOLD,1441.8,1445.8,0
INFY,1970-01-01 00:00:00.000000116,HOLD,1445.8,1446.6,0
ITC,1970-01-01 00:00:00.000000051,HOLD,416.45,415.1,0
ITC,1970-01-01 00:00:00.000000052,HOLD,415.1,412.95,0
ITC,1970-01-01 00:00:00.000000053,HOLD,412.95,413.35,0
ITC,1970-01-01 00:00:00.000000054,HOLD,413.35,412.55,0
ITC,1970-01-01 00:00:00.000000055,HOLD,412.55,416.15,0
ITC,1970-01-01 00:00:00.000000056,HOLD,416.15,417.2,0
ITC,1970-01-01 00:00:00.000000057,HOLD,417.2,419.45,0
ITC,1970-01-01 00:00:00.000000058,HOLD,419.45,416.85,0
ITC,1970-01-01 00:00:00.000000059,HOLD,416.85,416.8,0
ITC,1970-01-01 00:00:00.000000060,HOLD,416.8,419.4,0
ITC,1970-01-01 00:00:00.000000061,HOLD,419.4,422.1,0
ITC,1970-01-01 00:00:00.000000062,HOLD,422.1,424.6,0
ITC,1970-01-01 00:00:00.000000063,HOLD,424.6,423.95,0
ITC,1970-01-01 00:00:00.000000064,HOLD,423.95,422.75,0
ITC,1970-01-01 00:00:00.000000065,HOLD,422.75,420.1,0
ITC,1970-01-01 00:00:00.000000066,HOLD,420.1,416.0,0
ITC,1970-01-01 00:00:00.000000067,HOLD,416.0,414.95,0
ITC,1970-01-01 00:00:00.000000068,HOLD,414.95,409.95,0
